401,0,"News Online Today | publication date | 1998/04/26
ABILA | inception | 2013/12/16
The Guide | inception | 2013/12/16
Carmen Adrien | inception | 2013/12/16
Kronos | inception | 2013/12/16
The Guide | located in the administrative territorial entity | POK
The Guide | located in the administrative territorial entity | Abila
Carmen Adrien | located in the administrative territorial entity | POK
Carmen Adrien | located in the administrative territorial entity | Abila
Kronos | located in the administrative territorial entity | POK
Kronos | located in the administrative territorial entity | Abila
ABILA | located in the administrative territorial entity | POK
ABILA | located in the administrative territorial entity | Abila",8.151926755905151,1117,231
631,0,"The Guide | publication date | 1930
The Guide | author | Torsten Trucco
Araullo | country | ABILA
Araullo | located in the administrative territorial entity | ABILA
Abila | contains administrative territorial entity | Araullo
Abila | inception | 1995/11/23
Torsten Trucco | country | Abila
Torsten Trucco | located in the administrative territorial entity | Abila
Torsten Trucco | notable work | The Guide
ABILA, Kronos | country | Abila
ABILA, Kronos | located in the administrative territorial entity | Abila
350 | country | Abila
350 | located in the administrative territorial entity | Abila
100 | country | Abila
100 | located in the administrative territorial entity | Abila",6.754173517227173,1129,171
631,1,"Araullo | involved in | foreign investment
Araullo | involved in | new hospital
foreign investment | used for | new hospital",1.4357810020446777,1099,28
632,0,"The Guide | publication date | 1993/03/13
GAStech | location | ABILA
GAStech | owner | Sten Sanjorge Jr
GAStech | value | $1 billion
Kronos | location | Tethys
Kronos | species | Kronosian
Araullo | location | Tiskele
Araullo | species | Kronosian
Tethys | country | Kronos
Tiskele | country | Araullo
Sten Sanjorge Jr | employer | GAStech
Department of the Interior | location | ABILA
Department of the Interior | country | Kronos
Kronosian | location | Kronos
Kronosian | location | Araullo
$1 billion | owner | GAStech
$1 billion | location | ABILA
Sten Sanjorge Jr | nationality | Kronosian
Department of the Interior | value | $1 billion
The Guide | location | ABILA
The Guide | country | Kronos
The Guide | owner | Sten Sanjorge Jr
The Guide | value | $1 billion
1993/03/13 | event | The Guide publication
1993/03/13 | event | GAStech establishment
1993/03/13 | event | Sten Sanjorge Jr becomes owner of GAStech
1993/03/13 | event | Department of the Interior values GAStech at $1 billion",11.761547803878784,1142,307
632,1,"The text ""632"" does not provide enough context to extract any relations between the entities ""government"", ""infrastructure"", ""medical care"", and ""education"". Please provide a more detailed text.",1.618981122970581,1099,39
633,0,"The Guide | publication date | 1996/03/15
The Guide | publisher | Department of the Interior
The Guide | contributor | Sarto
The Guide | contributor | Tiskele
The Guide | contributor | Kronos
The Guide | contributor | ABILA
The Guide | contributor | GAStech
Department of the Interior | publication | The Guide
Sarto | contributed to | The Guide
Tiskele | contributed to | The Guide
Kronos | contributed to | The Guide
ABILA | contributed to | The Guide
GAStech | contributed to | The Guide",4.155468940734863,1123,123
633,1,Araullo | title | Mr. president,0.7134120464324951,1097,9
634,0,"The Guide | publication date | 2005/04/08
The Guide | performer | ABILA, Kronos
The Guide | performer | Tiskele
The Guide | point in time | Tuesday
The Guide | point in time | 5:30
The Guide | point in time | second hour
ABILA, Kronos | point in time | Tuesday
ABILA, Kronos | point in time | 5:30
ABILA, Kronos | point in time | second hour
Tiskele | point in time | Tuesday
Tiskele | point in time | 5:30
Tiskele | point in time | second hour
ABILA, Kronos | notable work | The Guide
Tiskele | notable work | The Guide
The Guide | has part | ABILA, Kronos
The Guide | has part | Tiskele",8.112645387649536,1121,182
634,1,"Rufus Drymiau | part of | assembly
Rufus Drymiau | involved in | national environmental policy
assembly | involved in | national environmental policy",1.3631322383880615,1102,34
635,0,"The Guide | publisher | GAStech
GAStech | location | Kronos
GAStech | inception | 2014/01/19
GAStech | location | ABILA
Ingrid Barranco | employer | GAStech
Ada Campo-Corren | employer | GAStech
Orhan Strum | employer | GAStech
Willem Vasco-Pais | employer | GAStech
Rufus Drymiau | employer | GAStech
Sten Sanjorge Jr | employer | GAStech
Tethys | location | Kapelou
GAStech | location | Capitol
GAStech | duration | twentieth year
International GAStech | publisher | The Guide
GAStech | production quantity | 5 million cubic meters
Tiskele | employer | GAStech",5.722135543823242,1175,173
635,1,"GAStech | located in the administrative territorial entity | Abila
general hospital of Abila | located in the administrative territorial entity | Abila
GAStech | country | Abila
general hospital of Abila | country | Abila",2.3194451332092285,1103,49
636,0,"The Guide | country | Abila
Sanjorge | country | Abila
GAStech | country | Abila
HQ of GAStech | country | Abila
2014/01/21 | point in time | twentieth year
ABILA | country | Abila
Kronos | country | Abila
Centrum | country | Abila
Tethys | country | Abila
Sten Sanjorge Je | country | Abila
Kapelou | country | Abila
Capitol | country | Abila
twentieth year | point in time | 2014/01/21
The Guide | located in the administrative territorial entity | Abila
Sanjorge | located in the administrative territorial entity | Abila
GAStech | located in the administrative territorial entity | Abila
HQ of GAStech | located in the administrative territorial entity | Abila
ABILA | located in the administrative territorial entity | Abila
Kronos | located in the administrative territorial entity | Abila
Centrum | located in the administrative territorial entity | Abila
Tethys | located in the administrative territorial entity | Abila
Sten Sanjorge Je | located in the administrative territorial entity | Abila
Kapelou | located in the administrative territorial entity | Abila
Capitol | located in the administrative territorial entity | Abila
The Guide | inception | 2014/01/21
Sanjorge | inception | 2014/01/21
GAStech | inception | 2014/01/21
HQ of GAStech | inception | 2014/01/21
ABILA | inception | 2014/01/21
Kronos | inception | 2014/01/21
Centrum | inception | 2014/01/21
Tethys | inception | 2014/01/21
Sten Sanjorge Je | inception | 2014/01/21
Kapelou | inception | 2014/01/21
Capitol | inception | 2014/01/21
twentieth year | inception | 2014/01/21",21.150185585021973,1147,453
636,1,GAStech | event | press conference,0.6996779441833496,1097,8
637,0,"The Guide | publication date | 1993/01/19
ABILA | country | Kronos
parliament | country | Kronos
president Araullo | position held | president
president Araullo | country | Kronos
Tomas Sartos | position held | minister of the interior
Tomas Sartos | country | Kronos
Kronosians | ethnic group | Kronos
companies of development of the energy | country | Kronos
ministry of the inner projections | country | Kronos
fields of the curve of Tiskele | country | Kronos
20 next years | point in time | The Guide
minister of the interior | position held | Tomas Sartos
minister of the interior | country | Kronos
Kronosians | country | Kronos
fields of the curve of Tiskele | located in the administrative territorial entity | Kronos
ministry of the inner projections | located in the administrative territorial entity | Kronos
companies of development of the energy | located in the administrative territorial entity | Kronos
parliament | located in the administrative territorial entity | Kronos
ABILA | located in the administrative territorial entity | Kronos
president Araullo | located in the administrative territorial entity | Kronos
Tomas Sartos | located in the administrative territorial entity | Kronos
The Guide | country | Kronos
The Guide | located in the administrative territorial entity | Kronos
Kronosians | located in the administrative territorial entity | Kronos
minister of the interior | located in the administrative territorial entity | Kronos
20 next years | located in the administrative territorial entity | Kronos
fields of the curve of Tiskele | located in the administrative territorial entity | Kronos
20 next years | country | Kronos
The Guide | inception | 1993/01/19
Kronos | contains administrative territorial entity | ABILA
Kronos | contains administrative territorial entity | fields of the curve of Tiskele
Kronos | contains administrative territorial entity | ministry of the inner projections
Kronos | contains administrative territorial entity | companies of development of the energy
Kronos | contains administrative territorial entity | parliament
Kronos | contains administrative territorial entity | president Araullo
Kronos | contains administrative territorial entity | Tomas Sartos
Kronos | contains administrative territorial entity | The Guide
Kronos | contains administrative territorial entity | Kronosians
Kronos | contains administrative territorial entity | minister of the interior
Kronos | contains administrative territorial entity | 20 next years",19.17901062965393,1154,538
638,0,"The Guide | publication date | 1995/10/12
GAStech | country | ABILA
GAStech | part of | GAStech-Kronos
Kronos | part of | GAStech-Kronos
Sten Sanjorge Jr | country | ABILA
Sten Sanjorge Jr | employer | GAStech
GAStech-Kronos | country | ABILA
Minister Sarto | country | ABILA
Sanjorge | country | ABILA
Sanjorge | employer | GAStech
GAStech | employer | Sten Sanjorge Jr
GAStech | employer | Sanjorge
GAStech-Kronos | employer | Sten Sanjorge Jr
GAStech-Kronos | employer | Sanjorge
Sten Sanjorge Jr | part of | GAStech-Kronos
Sanjorge | part of | GAStech-Kronos
Minister Sarto | employer | ABILA
ABILA | employer | Minister Sarto
ABILA | contains administrative territorial entity | GAStech
ABILA | contains administrative territorial entity | GAStech-Kronos
ABILA | contains administrative territorial entity | Kronos
ABILA | contains administrative territorial entity | Sten Sanjorge Jr
ABILA | contains administrative territorial entity | Sanjorge
ABILA | contains administrative territorial entity | Minister Sarto",12.3261399269104,1133,295
639,0,"The Guide | publication date | 2012/06/21
The Guide | publisher | ABILA, Kronos
The Guide | country | POK
ABILA, Kronos | country | POK
capitol | country | POK
señorío presidential | country | POK
our government | country | POK
the police | country | POK
tear gas | country | POK
the aerosol of the pepper | country | POK
the tubes of the water | country | POK
beanbags | country | POK
guns | country | POK
the police | equipment used | tear gas
the police | equipment used | the aerosol of the pepper
the police | equipment used | the tubes of the water
the police | equipment used | beanbags
the police | equipment used | guns
our government | located in the administrative territorial entity | capitol
our government | located in the administrative territorial entity | señorío presidential
our government | controls | the police
our government | uses | tear gas
our government | uses | the aerosol of the pepper
our government | uses | the tubes of the water
our government | uses | beanbags
our government | uses | guns
capitol | located in the administrative territorial entity | POK
señorío presidential | located in the administrative territorial entity | POK
ABILA, Kronos | located in the administrative territorial entity | POK
The Guide | located in the administrative territorial entity | POK
the police | located in the administrative territorial entity | POK
tear gas | located in the administrative territorial entity | POK
the aerosol of the pepper | located in the administrative territorial entity | POK
the tubes of the water | located in the administrative territorial entity | POK
beanbags | located in the administrative territorial entity | POK
guns | located in the administrative territorial entity | POK",14.045164823532104,1145,401
639,1,"Abila | contains | general hospital of Abila
general hospital of Abila | located in the administrative territorial entity | Abila",1.1084401607513428,1099,26
640,0,"The Guide | country | POK
The Guide | publication date | 2010/06/22
The Guide | author | Elian Karel
The Guide | author | Julian Vann
Elian Karel | country | POK
Julian Vann | country | POK
Abila | country | POK
Kronos | country | POK
Elian Karel | notable work | The Guide
Julian Vann | notable work | The Guide
The Guide | located in the administrative territorial entity | Abila
The Guide | located in the administrative territorial entity | Kronos
Abila | located in the administrative territorial entity | POK
Kronos | located in the administrative territorial entity | POK
Elian Karel | located in the administrative territorial entity | POK
Julian Vann | located in the administrative territorial entity | POK
The Guide | inception | 2010/06/22",6.064822673797607,1119,195
640,1,"Silvia Marek | location | Abila
Silvia Marek | location | POK
general hospital of Abila | location | Abila
general hospital of Abila | location | POK
Silvia Marek | affiliated with | general hospital of Abila
POK | contains | Abila
POK | contains | general hospital of Abila
Abila | contains | general hospital of Abila",2.7133708000183105,1107,85
640,2,"Carman Adrien | participant in | POK movement
Elian Karel | participant in | POK movement
Marek | participant in | POK movement
POK movement | time period | last summer
POK movement | time period | today
Carman Adrien | time period | today
Elian Karel | time period | today
Marek | time period | today
Carman Adrien | time period | last summer
Elian Karel | time period | last summer
Marek | time period | last summer",4.574732542037964,1112,114
641,0,"The Guide | publication date | 1993/09/21
The Guide | country | Abila
The Guide | country | Europe
ABILA | country | Europe
Kronos | country | Europe
Sarto | country | Europe
Tethys international GAStech | country | Europe
Abila | country | Europe
Minister Sarto | country | Europe
Tiskele | country | Europe
The Guide | located in the administrative territorial entity | Abila
ABILA | located in the administrative territorial entity | Europe
Kronos | located in the administrative territorial entity | Europe
Sarto | located in the administrative territorial entity | Europe
Tethys international GAStech | located in the administrative territorial entity | Europe
Abila | located in the administrative territorial entity | Europe
Minister Sarto | located in the administrative territorial entity | Europe
Tiskele | located in the administrative territorial entity | Europe
Tethys international GAStech | budget | $200 million
Minister Sarto | position held | Sarto
Sarto | position held | Minister Sarto
The Guide | point in time | March
ABILA | point in time | March
Kronos | point in time | March
Sarto | point in time | March
Tethys international GAStech | point in time | March
Abila | point in time | March
Minister Sarto | point in time | March
Tiskele | point in time | March
Europe | point in time | March
$200 million | point in time | March",9.821364641189575,1137,326
641,1,"GAStech | subsidiary | Tethys
GAStech | subsidiary | Kronos
GAStech | subsidiary | Maxima
GAStech | subsidiary | Tiskele
Tethys | parent organization | GAStech
Kronos | parent organization | GAStech
Maxima | parent organization | GAStech
Tiskele | parent organization | GAStech",3.120311975479126,1108,80
642,0,"The Guide | publication date | 2011/06/22
The Guide | publisher | POK
POK | published work | The Guide
Abila | country | POK
Abila | product or material produced | ABILA, Kronos
ABILA, Kronos | country | Abila
ABILA, Kronos | manufacturer | Abila
Siopa | country | POK
police | country | POK
Abila | contains administrative territorial entity | police
POK | contains administrative territorial entity | Abila
POK | contains administrative territorial entity | Siopa
POK | contains administrative territorial entity | police
Abila | contains administrative territorial entity | Siopa
Siopa | located in the administrative territorial entity | Abila
police | located in the administrative territorial entity | Abila
Siopa | located in the administrative territorial entity | POK
police | located in the administrative territorial entity | POK",6.3094635009765625,1118,195
643,0,"The Guide | publication date | 1998/01/20
The Guide | publisher | ABILA
The Guide | author | Araullo
Kronos | publisher | ABILA
Kronos | author | Araullo
Araullo | employer | ABILA
Abila | employee | Araullo",2.704841375350952,1113,64
643,1,"Hipocrisy | country | our country
foreign experts | country | our country
foreign companies | country | our country
our government | country | our country
our people | country | our country
our children | country | our country
our modernization | country | our country
our government | has part | our people
our country | has part | our people
our country | has part | our children
our country | has part | our government
our country | has part | our modernization
our country | has part | foreign companies
our country | has part | foreign experts
our government | has part | our children
our government | has part | our modernization
our government | has part | foreign companies
our government | has part | foreign experts
our modernization | has part | our people
our modernization | has part | our children
our modernization | has part | foreign companies
our modernization | has part | foreign experts
our people | has part | our children
our people | has part | foreign companies
our people | has part | foreign experts
our children | has part | foreign companies
our children | has part | foreign experts
foreign companies | has part | foreign experts
Hipocrisy | has part | our government
Hipocrisy | has part | our people
Hipocrisy | has part | our children
Hipocrisy | has part | our modernization
Hipocrisy | has part | foreign companies
Hipocrisy | has part | foreign experts",9.140374898910522,1115,306
644,0,"The Guide | publication date | 2009/02/19
The Guide | subject | POK
The Guide | subject | GAStech
The Guide | subject | Kronos
The Guide | subject | The protectors of Kronos
The Guide | subject | Abila
The Guide | subject | gas and petroleum
The Guide | subject | foreign corporations
The Guide | subject | environment
The Guide | subject | Ten
POK | related to | GAStech
POK | related to | Kronos
POK | related to | The protectors of Kronos
POK | related to | Abila
POK | related to | gas and petroleum
POK | related to | foreign corporations
POK | related to | environment
POK | related to | Ten
GAStech | operates in | Kronos
GAStech | operates in | Abila
GAStech | industry | gas and petroleum
GAStech | related to | foreign corporations
GAStech | impact on | environment
GAStech | related to | Ten
Kronos | protected by | The protectors of Kronos
Kronos | location | Abila
Kronos | related to | gas and petroleum
Kronos | related to | foreign corporations
Kronos | related to | environment
Kronos | related to | Ten
The protectors of Kronos | location | Abila
The protectors of Kronos | related to | gas and petroleum
The protectors of Kronos | related to | foreign corporations
The protectors of Kronos | related to | environment
The protectors of Kronos | related to | Ten
Abila | industry | gas and petroleum
Abila | related to | foreign corporations
Abila | environment | environment
Abila | related to | Ten
gas and petroleum | related to | foreign corporations
gas and petroleum | impact on | environment
gas and petroleum | related to | Ten
foreign corporations | impact on | environment
foreign corporations | related to | Ten
environment | related to | Ten",12.794117450714111,1135,432
644,1,"Carman Adrien | employer | GAStech
Elian Karel | employer | GAStech
Rufus Drymiau | employer | GAStech
POK | parent organization | GAStech
Kronos | parent organization | GAStech
Kapelou | parent organization | GAStech
Elodis | parent organization | GAStech
Carman Adrien | colleague | Elian Karel
Carman Adrien | colleague | Rufus Drymiau
Elian Karel | colleague | Rufus Drymiau
Elian Karel | colleague | Carman Adrien
Rufus Drymiau | colleague | Carman Adrien
Rufus Drymiau | colleague | Elian Karel",5.968460559844971,1124,155
645,0,"Sten Sanjorge, Jr. | occupation | billionaire
Sten Sanjorge, Sr. | child | Sten Sanjorge, Jr.
Sten Sanjorge, Jr. | parent | Sten Sanjorge, Sr.
Sten Sanjorge, Jr. | position held | International GAStech
Sten Sanjorge, Sr. | position held | International GAStech
International GAStech | owned by | Sten Sanjorge, Jr.
International GAStech | owned by | Sten Sanjorge, Sr.
International GAStech | owner | Sten Sanjorge, Jr.
International GAStech | owner | Sten Sanjorge, Sr.
International GAStech | inception | 1961
International GAStech | quantity | 5 million cubic meters
International GAStech | shares owned by | S 51%
International GAStech | shares owned by | 33%
International GAStech | value | $1.96 billion
International GAStech | value | $1.27 billion
Beatriz Fluss | position held | Fluss hank
Fluss hank | owned by | Beatriz Fluss
Fluss hank | owner | Beatriz Fluss
The Light of Truth | publication date | 2013/12/18
The Light of Truth | publisher | SANJORGE
SANJORGE | published work | The Light of Truth
CENTRUM | located in the administrative territorial entity | Tethys
CENTRUM | country | Tethys
Tethys | contains administrative territorial entity | CENTRUM
GAStech international | located in the administrative territorial entity | Kronos
GAStech international | country | Kronos
Kronos | contains administrative territorial entity | GAStech international
Tiskele | located in the administrative territorial entity | Kronos
Tiskele | country | Kronos
Kronos | contains administrative territorial entity | Tiskele",17.53611707687378,1189,411
645,1,"GAStech | CFO | Ingrid Barranco
GAStech | CIO | Ada Campo-Corrente
GAStech | employee | Orhan Strum
GAStech | employee | Willem Vasco-Pais
GAStech | financial transaction | $327.25 million
GAStech | financial transaction | $96.25 million
GAStech | financial transaction | $38.5 million
Kronos | financial transaction | $327.25 million
Kronos | financial transaction | $96.25 million
Kronos | financial transaction | $38.5 million
Ingrid Barranco | employer | GAStech
Ada Campo-Corrente | employer | GAStech
Orhan Strum | employer | GAStech
Willem Vasco-Pais | employer | GAStech
$327.25 million | financial transaction | GAStech
$96.25 million | financial transaction | GAStech
$38.5 million | financial transaction | GAStech
$327.25 million | financial transaction | Kronos
$96.25 million | financial transaction | Kronos
$38.5 million | financial transaction | Kronos",7.4368791580200195,1141,247
646,0,"Sten Sanjorge, Jr. | parent | Sten Sanjorge, Sr.
Sten Sanjorge, Sr. | child | Sten Sanjorge, Jr.
Sten Sanjorge, Jr. | employer | GAStech
Sten Sanjorge, Jr. | employer | INTERNATIONAL GASTECH
Sten Sanjorge, Sr. | employer | GAStech
Sten Sanjorge, Sr. | employer | INTERNATIONAL GASTECH
GAStech | employee | Sten Sanjorge, Jr.
GAStech | employee | Sten Sanjorge, Sr.
INTERNATIONAL GASTECH | employee | Sten Sanjorge, Jr.
INTERNATIONAL GASTECH | employee | Sten Sanjorge, Sr.
GAStech | founded by | Sten Sanjorge, Sr.
INTERNATIONAL GASTECH | founded by | Sten Sanjorge, Sr.
GAStech | foundation date | 1961
INTERNATIONAL GASTECH | foundation date | 1961
GAStech | age | 52 years
INTERNATIONAL GASTECH | age | 52 years
GAStech | value | $3.75 billion
INTERNATIONAL GASTECH | value | $3.75 billion
GAStech | target end date | the end of the year
INTERNATIONAL GASTECH | target end date | the end of the year
GAStech | location | CENTRUM
INTERNATIONAL GASTECH | location | CENTRUM
GAStech | event | The Light of Truth
INTERNATIONAL GASTECH | event | The Light of Truth
The Light of Truth | event date | 2013/09/04
The Light of Truth | event day | Monday
The Light of Truth | event location | CENTRUM
The Light of Truth | organizer | GAStech
The Light of Truth | organizer | INTERNATIONAL GASTECH
The Light of Truth | participant | Sten Sanjorge, Jr.
The Light of Truth | participant | Sten Sanjorge, Sr.
The Light of Truth | participant | Tethys
The Light of Truth | participant | JR. SANJORGE
JR. SANJORGE | participant in | The Light of Truth
Tethys | participant in | The Light of Truth
Sten Sanjorge, Jr. | participant in | The Light of Truth
Sten Sanjorge, Sr. | participant in | The Light of Truth
JR. SANJORGE | alias | Sten Sanjorge, Jr.
Sten Sanjorge, Jr. | alias | JR. SANJORGE
Sanjorge, Jr. | alias | Sten Sanjorge, Jr.
Sten Sanjorge, Jr. | alias | Sanjorge, Jr.",23.103115558624268,1170,582
647,0,"The Light of Truth | author | Hank Fluss
Hank Fluss | notable work | The Light of Truth
GAStech | founder | Sten Sanjorge, Sr.
Sten Sanjorge, Sr. | founded | GAStech
Centrum | country | Tethys
Tethys | contains administrative territorial entity | Centrum
Sten Sanjorge, Sr. | birth date | 1963
The Light of Truth | publication date | 2003/05/19
Sanjorge, Sr. | birth date | 1963
Sanjorge, Sr. | founded | GAStech",5.048481464385986,1136,132
647,1,"Fluss | position held | CEO
Fluss | employer | GAStech
Fluss | parent | Sten Sanjorge, Jr.
Fluss | parent | Beatriz Fluss
Fluss | age | 54 year old
Sten Sanjorge, Jr. | child | Fluss
Beatriz Fluss | child | Fluss
GAStech | employer | Fluss
Kronos | related to | GAStech
Hank Fluss | related to | Fluss
Hank Fluss | related to | GAStech
Hank Fluss | related to | Kronos
Hank Fluss | related to | Sten Sanjorge, Jr.
Hank Fluss | related to | Beatriz Fluss
Hank Fluss | age | 54 year old",6.917978525161743,1124,168
648,0,"The Light of Truth | publication date | 1994/02/18
Centrum | contains administrative territorial entity | the hospital of the children of Centrum
Centrum | contains administrative territorial entity | Chairman of the board of room of Centrum
Sten Sanjorge Sr. | employer | GAStech
Sten Sanjorge Sr. | family | the family of Sanjorge
GAStech | inception | 1961
Willem Gracias | employer | Centrum
the family of Sanjorge | member | Sten Sanjorge Sr.
Chairman of the board of room of Centrum | located in the administrative territorial entity | Centrum
the hospital of the children of Centrum | located in the administrative territorial entity | Centrum
Tethys | located in the administrative territorial entity | Centrum
Tethys | country | Centrum
Sten Sanjorge Sr. | country | Centrum
GAStech | country | Centrum
Chairman of the board of room of Centrum | country | Centrum
the hospital of the children of Centrum | country | Centrum
the family of Sanjorge | country | Centrum
Willem Gracias | country | Centrum
The Light of Truth | country | Centrum
1961 | country | Centrum
1994/02/18 | country | Centrum
",12.038453578948975,1156,285
648,1,"Sanjorge Sr. | parent | Sanjorge Jr.
Sanjorge Sr. | spouse | Ingrid Sanjorge
Ingrid Sanjorge | spouse | Sanjorge Sr.
Ingrid Sanjorge | parent | Sanjorge Jr.
Sten Sanjorge | sibling | Sanjorge Jr.
Sanjorge Jr. | sibling | Sten Sanjorge
Sanjorge Jr. | child | Sanjorge Sr.
Sanjorge Jr. | child | Ingrid Sanjorge",4.137897253036499,1112,106
649,0,"The Light of Truth | publication date | 2000/01/16
The Light of Truth | location | Kronos
The Light of Truth | location | ABILA
The Light of Truth | subject | GDP
The Light of Truth | subject | the fourth quarter of 1999
The Light of Truth | subject | the office of economic sciences
The Light of Truth | subject | 5th year
The Light of Truth | subject | the government of Kronos
The Light of Truth | subject | international GAStech
GDP | point in time | the fourth quarter of 1999
GDP | location | Kronos
GDP | location | ABILA
GDP | publisher | The Light of Truth
the fourth quarter of 1999 | location | Kronos
the fourth quarter of 1999 | location | ABILA
the fourth quarter of 1999 | publisher | The Light of Truth
the office of economic sciences | location | Kronos
the office of economic sciences | location | ABILA
the office of economic sciences | publisher | The Light of Truth
5th year | location | Kronos
5th year | location | ABILA
5th year | publisher | The Light of Truth
the government of Kronos | location | Kronos
the government of Kronos | location | ABILA
the government of Kronos | publisher | The Light of Truth
international GAStech | location | Kronos
international GAStech | location | ABILA
international GAStech | publisher | The Light of Truth
Kronos | contains administrative territorial entity | ABILA
Kronos | country | The Light of Truth
Kronos | country | the office of economic sciences
Kronos | country | the government of Kronos
Kronos | country | international GAStech
ABILA | located in the administrative territorial entity | Kronos
ABILA | country | The Light of Truth
ABILA | country | the office of economic sciences
ABILA | country | the government of Kronos
ABILA | country | international GAStech",16.09689164161682,1141,435
650,0,"The Light of Truth | publication date | 2000/08/16
Rebecca Cato | employer | GAStech
Sten Sanjorge Jr. | employer | GAStech
GAStech | location | SITE OF CURVE OF TISKELE OF ROCKS GASTECH Of EXPLOSION
GAStech Tiskele | part of | GAStech
Elodis | country | ABILA
Kronos | country | ABILA
GAStech | country | ABILA
GAStech Tiskele | country | ABILA
The Light of Truth | country | ABILA
Rebecca Cato | country | ABILA
Sten Sanjorge Jr. | country | ABILA
SITE OF CURVE OF TISKELE OF ROCKS GASTECH Of EXPLOSION | country | ABILA
GAStech | located in the administrative territorial entity | ABILA
GAStech Tiskele | located in the administrative territorial entity | ABILA
The Light of Truth | located in the administrative territorial entity | ABILA
Rebecca Cato | located in the administrative territorial entity | ABILA
Sten Sanjorge Jr. | located in the administrative territorial entity | ABILA
SITE OF CURVE OF TISKELE OF ROCKS GASTECH Of EXPLOSION | located in the administrative territorial entity | ABILA
Kronos | located in the administrative territorial entity | ABILA
Elodis | located in the administrative territorial entity | ABILA",14.470423698425293,1155,314
650,1,"Rebecca Cato | spouse | Mrs. Cato
Rebecca Cato | employer | GAStech
Mrs. Cato | employer | GAStech
Elodis | employer | Rebecca Cato
Elodis | employer | Mrs. Cato
GAStech | employee | Rebecca Cato
GAStech | employee | Mrs. Cato",3.4352939128875732,1107,75
651,0,"The Light of Truth | publication date | 1992/12/12
The Light of Truth | country | United States
The Light of Truth | located in the administrative territorial entity | United States
The GOVERNMENT OF KRONOS PROJECTS TAX RELIEF TO ENCOURAGE the FOREIGN INVESTMENT | country | Kronos
The GOVERNMENT OF KRONOS PROJECTS TAX RELIEF TO ENCOURAGE the FOREIGN INVESTMENT | located in the administrative territorial entity | Kronos
ABILA, Kronos | country | Kronos
ABILA, Kronos | located in the administrative territorial entity | Kronos
Kronos | located in the administrative territorial entity | Europe
United States | contains administrative territorial entity | The Light of Truth
Europe | contains administrative territorial entity | Kronos
Kronos | contains administrative territorial entity | ABILA, Kronos
The GOVERNMENT OF KRONOS PROJECTS TAX RELIEF TO ENCOURAGE the FOREIGN INVESTMENT | inception | 1992/12/12
The Light of Truth | located in the administrative territorial entity | ABILA, Kronos
The GOVERNMENT OF KRONOS PROJECTS TAX RELIEF TO ENCOURAGE the FOREIGN INVESTMENT | located in the administrative territorial entity | ABILA, Kronos
ABILA, Kronos | located in the administrative territorial entity | The GOVERNMENT OF KRONOS PROJECTS TAX RELIEF TO ENCOURAGE the FOREIGN INVESTMENT
ABILA, Kronos | located in the administrative territorial entity | The Light of Truth
The Light of Truth | country | Kronos
The GOVERNMENT OF KRONOS PROJECTS TAX RELIEF TO ENCOURAGE the FOREIGN INVESTMENT | country | United States
ABILA, Kronos | country | United States
Kronos | country | United States
United States | contains administrative territorial entity | The GOVERNMENT OF KRONOS PROJECTS TAX RELIEF TO ENCOURAGE the FOREIGN INVESTMENT
United States | contains administrative territorial entity | ABILA, Kronos
Europe | contains administrative territorial entity | The Light of Truth
Europe | contains administrative territorial entity | The GOVERNMENT OF KRONOS PROJECTS TAX RELIEF TO ENCOURAGE the FOREIGN INVESTMENT
Kronos | contains administrative territorial entity | The Light of Truth
Kronos | contains administrative territorial entity | The GOVERNMENT OF KRONOS PROJECTS TAX RELIEF TO ENCOURAGE the FOREIGN INVESTMENT",20.239665031433105,1141,520
651,1,"Kronos | has part | government of Kronos
Kronos | has part | companies of energy
government of Kronos | located in the administrative territorial entity | Kronos
companies of energy | located in the administrative territorial entity | Kronos",1.961164951324463,1102,51
652,0,"The Light of Truth | publication date | 2010/12/18
Petr Noriega | occupation | President of director of the block of granite
Petr Noriega | country of citizenship | Switzerland
Petr Noriega | participant of | economic forum of the world
Petr Noriega | location of event | DAVOS
Kronos | location | Switzerland
Kronos | participant in | economic forum of the world
Kronos | location of event | DAVOS
PRODUCTIVE INVESTMENT IN KRONOS | location | Switzerland
PRODUCTIVE INVESTMENT IN KRONOS | participant in | economic forum of the world
PRODUCTIVE INVESTMENT IN KRONOS | location of event | DAVOS
economic forum of the world | location | DAVOS
economic forum of the world | country | Switzerland
President of director of the block of granite | country of citizenship | Switzerland
President of director of the block of granite | participant of | economic forum of the world
President of director of the block of granite | location of event | DAVOS
The Light of Truth | country | Switzerland
The Light of Truth | location of event | DAVOS
The Light of Truth | participant in | economic forum of the world",9.43985891342163,1142,265
652,1,"Mr. Noriega | employer | GAStech
Mr. Sanjorge Jr. | employer | GAStech
GAStech | subsidiary | international GAStech
Kronos | employer | GAStech
GAStech | parent organization | international GAStech
Mr. Noriega | employer | international GAStech
Mr. Sanjorge Jr. | employer | international GAStech
Kronos | employer | international GAStech",3.4826996326446533,1115,97
653,0,"The Light of Truth | publication date | 1995/10/11
GASTECH-KRONOS | country | Kronos
GASTECH-KRONOS | parent organization | GAStech
Sten Sanjorge Jr. | employer | GAStech
Sten Sanjorge Jr. | employer | GASTECH-KRONOS
Sten Sanjorge Jr. | country | Kronos
GAStech | country | Kronos
