doc_key,processed_entities,output_tokens,entities_not_from_list
0,"One World Research Institute for Social Development | located in the administrative territorial entity | Kronos
POK | abbreviation for | Protectors of Kronos
News Online Today | affiliation | Abila
POK | affiliation | News Online Today
Abila | location | GAStech
GAStech | location | ABILA
POK | location | Protectors of Kronos
Protectors of Kronos | affiliation | GAStech
News Online Today | affiliation | GAStech
News Online Today | location | Kronos
News Online Today | affiliation | Protectors of Kronos
POK | affiliation | Edvard Vann
Kronos | contains administrative territorial entity | GAStech
Edvard Vann | affiliation | GAStech
News Online Today | affiliation | Edvard Vann
Edvard Vann | location | ABILA",7064,0
408,"Kronos | part of | GAStech - Kronos
Government | contains administrative territorial entity | Kronos
Edvard Vann | country | Government
Edvard Vann | located in the administrative territorial entity | ABILA
Kronos Police | country | Government
6 hours | country | Government
ABILA | country | Government
Kronos Police | located in the administrative territorial entity | ABILA
News Online Today | publication date | 2014/01/20
GASTECH | part of | GAStech - Kronos
17:00 | located in the administrative territorial entity | ABILA
GASTECH | country | Government
GAStech - Kronos | country | Government
Edvard Vann | employer | GASTECH
17:00 | country | Government
GASTECH | located in the administrative territorial entity | ABILA
News Online Today | located in the administrative territorial entity | ABILA
Kronos | located in the administrative territorial entity | ABILA
Government | contains administrative territorial entity | ABILA
GAStech - Kronos | located in the administrative territorial entity | ABILA
6 hours | located in the administrative territorial entity | ABILA
14 GAStech | part of | GAStech - Kronos
14 GAStech | part of | GASTECH
17:00 | part of | 6 hours
14 GAStech | located in the administrative territorial entity | ABILA
GAStech - Kronos | inception | 2014/01/20
News Online Today | country | Government
Kronos | country | Government
Kronos Police | employer | Kronos
Edvard Vann | employer | Kronos
14 GAStech | country | Government",363,0
409,"Shawn Pastorini | mentioned in | News Online Today
Kronos | mentioned in | News Online Today
Shawn Pastorini | employer | GAStech
Abilia | different from | Abila
Abila | mentioned in | News Online Today
Abilia | mentioned in | News Online Today
GAStech | mentioned in | News Online Today
News Online Today | publication date | 2013/11/13",88,0
410,"Karel | point in time | Saturday
Kronos government | point in time | Saturday
POK | point in time | Saturday
Kronos | point in time | Saturday
POK campaign | country | ABILA
POK | country | ABILA
News Online Today | point in time | Saturday
Henk Bodrogi | participant in | POK campaign
Karel | participant in | POK campaign
Kronos government | participant in | POK campaign
Kronos | participant in | POK campaign
Henk Bodrogi | point in time | Saturday
Kronos | country | ABILA
News Online Today | country | ABILA
POK campaign | point in time | Saturday
POK | participant in | POK campaign
Karel | country | ABILA
Juliana | point in time | Saturday
News Online Today | publication date | 2009/03/08
Juliana | country | ABILA
POK campaign | point in time | 2009/03/08
Henk Bodrogi | country | ABILA
Saturday | point in time | 2009/03/08
Juliana | participant in | POK campaign
Kronos government | country | ABILA",262,0
411,"Rufus Drymiau | located in the administrative territorial entity | ABILA
POK | located in the administrative territorial entity | ABILA
Kronos | located in the administrative territorial entity | ABILA
Rufus Drymiau | country | ABILA
Kronos | country | ABILA
News Online Today | country | ABILA
News Online Today | located in the administrative territorial entity | ABILA
POK | country | ABILA
News Online Today | publication date | 2011/07/28",110,0
412,"Elian Karel | colleague | Michale Kraft
Elian Karel | employer | Kronos
Elian Karel | subject of | Activist Leader Karel Arrested for Tax Evasion
Michale Kraft | colleague | Elian Karel
Elian Karel | residence | ABILA
Activist Leader Karel Arrested for Tax Evasion | location | ABILA
Activist Leader Karel Arrested for Tax Evasion | publication date | 2009/03/12
Michale Kraft | residence | ABILA
Kronos | location | ABILA
Michale Kraft | employer | Kronos
News Online Today | location | ABILA
Activist Leader Karel Arrested for Tax Evasion | subject | Elian Karel
News Online Today | publication date | 2009/03/12
Activist Leader Karel Arrested for Tax Evasion | publisher | News Online Today",189,0
413,"Protectors of Kronos | country | Kronos
Elian Karel | located in the administrative territorial entity | Kronos
Elian Karel | affiliation | Protectors of Kronos
Silvia Marek | member of | Protectors of Kronos
News Online Today | publication date | 21 June 2009
Silvia Marek | country | Kronos
ABILA | country | Kronos
ABILA | located in the administrative territorial entity | Kronos
News Online Today | country | ABILA
Silvia Marek | affiliation | Protectors of Kronos
Silvia Marek | located in the administrative territorial entity | Kronos
News Online Today | located in the administrative territorial entity | ABILA
News Online Today | inception | 21 June 2009
Elian Karel | country | Kronos
Elian Karel | member of | Protectors of Kronos
Protectors of Kronos | located in the administrative territorial entity | Kronos
Protectors of Kronos | inception | 19 June",328,0
414,"SANJORGE JR. | employer | GASTECH INTERNATIONAL
Sten Sanjorge, Sr. | age | 52 years
SANJORGE JR. | employer | Tethys
GAStech | founded | 1961
Sten Sanjorge, Sr. | employer | Tethys
SANJORGE JR. | employer | CENTRUM
Sten Sanjorge, Sr. | employer | CENTRUM
Sten Sanjorge, Jr. | employer | CENTRUM
Sten Sanjorge, Sr. | mentioned in | News Online Today
SANJORGE JR. | value | $3.75 billion
GAStech | CEO | Sten Sanjorge, Jr.
Tethys | mentioned in | News Online Today
Sten Sanjorge, Jr. | employer | Tethys
GASTECH INTERNATIONAL | CEO | Sten Sanjorge, Jr.
SANJORGE JR. | mentioned in | News Online Today
News Online Today | publication date | 2013/09/03
SANJORGE JR. | age | 52 years
CENTRUM | employer | Sten Sanjorge, Jr.
Sten Sanjorge, Sr. | child | Sten Sanjorge, Jr.
GASTECH INTERNATIONAL | founded | 1961
SANJORGE JR. | employer | GAStech
Sten Sanjorge, Sr. | employer | GAStech
GAStech | founded by | Sten Sanjorge, Sr.
GAStech | value | $3.75 billion
Sten Sanjorge, Jr. | mentioned in | News Online Today
Tethys | employer | Sten Sanjorge, Jr.
SANJORGE JR. | parent | Sten Sanjorge, Sr.
Sten Sanjorge, Jr. | parent | Sten Sanjorge, Sr.
Sten Sanjorge, Jr. | age | 52 years
GASTECH INTERNATIONAL | mentioned in | News Online Today
Tethys | employer | Sten Sanjorge, Sr.
GAStech | mentioned in | News Online Today
GASTECH INTERNATIONAL | founded by | Sten Sanjorge, Sr.
News Online Today | published on | Monday
CENTRUM | mentioned in | News Online Today
Sten Sanjorge, Jr. | employer | GAStech
Sten Sanjorge, Jr. | employer | GASTECH INTERNATIONAL
CENTRUM | employer | Sten Sanjorge, Sr.
SANJORGE JR. | child | Sten Sanjorge, Jr.
GASTECH INTERNATIONAL | value | $3.75 billion",569,0
415,"Cesare Nespola | occupation | Kronos
Elodis | employer | Cesare Nespola
Kronos | employer | Cesare Nespola
Cesare Nespola | occupation | News Online Today
Cesare Nespola | located in the administrative territorial entity | ABILA
Elodis | located in the administrative territorial entity | ABILA
Tiskele Bend | located in the administrative territorial entity | ABILA
Cesare Nespola | country | ABILA
Kronos | country | ABILA
News Online Today | publication date | 1998/11/10
News Online Today | country | ABILA
Ministry of Health | located in the administrative territorial entity | ABILA
Ministry of Health | country | ABILA
Cesare Nespola | occupation | Tiskele Bend
Tiskele Bend | country | ABILA
Cesare Nespola | occupation | Ministry of Health
News Online Today | located in the administrative territorial entity | ABILA
Elodis | country | ABILA
Cesare Nespola | occupation | Elodis
Ministry of Health | employer | Cesare Nespola
Kronos | located in the administrative territorial entity | ABILA
Tiskele Bend | employer | Cesare Nespola",277,0
416,"News Online Today | mentioned in | Kronos
GASTECH | located in the administrative territorial entity | POK
GASTECH | country | POK
News Online Today | publication date | 2009/02/19
GAStech International | parent organization | GASTECH
GASTECH | publication date | 2009/02/19
News Online Today | mentioned in | GASTECH
News Online Today | country | POK
News Online Today | mentioned in | ABILA
Kronos | located in the administrative territorial entity | POK
ABILA | located in the administrative territorial entity | POK
GAStech International | publication date | 2009/02/19
GAStech International | country | POK
ABILA | country | POK
GAStech International | located in the administrative territorial entity | POK
News Online Today | mentioned in | GAStech International
Kronos | publication date | 2009/02/19
Kronos | country | POK
ABILA | publication date | 2009/02/19
GASTECH | subsidiary | GAStech International
News Online Today | located in the administrative territorial entity | POK",255,0
417,"Kronos | part of | GASTECH
Elodis Primary School | inception | 2007/03/21
News Online Today | covers entity | Elodis Primary School
News Online Today | publication date | 2007/03/21
News Online Today | covers entity | ELODIS
News Online Today | covers event | GASTECH
Spring Program | inception | 2007/03/21
ELODIS | inception | 2007/03/21
Spring Program | part of | ELODIS
Kronos | inception | 2007/03/21
Spring Program | part of | Elodis Primary School
News Online Today | covers event | Spring Program
Elodis Primary School | part of | ELODIS
GASTECH | event date | 2007/03/21
News Online Today | covers entity | Kronos",187,0
418,"President Dorel Kapelou II | member of political party | President's Democratic Party of Kronos
President Dorel Kapelou II | position held | Party of Kronos Industrialists of Kronos
President Dorel Kapelou II | position held | General Assembly
President Dorel Kapelou II | position held | General Assembly of ABILA
Party of Kronos Industrialists | country | Kronos
President Dorel Kapelou II | position held | General Assembly of Kronos
PRESIDENT KAPELOU II ELECTED BY RECORD MARGIN | publisher | News Online Today
President Dorel Kapelou II | position held | Party of Kronos Industrialists
PRESIDENT KAPELOU II ELECTED BY RECORD MARGIN | publication date | 2010/10/03
Kronos | contains administrative territorial entity | ABILA
President Dorel Kapelou II | country | Kronos
President's Democratic Party of Kronos | contains administrative territorial entity | President Dorel Kapelou II
President Dorel Kapelou II | position held | Organization of Business and Unions Party of ABILA
Party of Kronos Industrialists | located in the administrative territorial entity | Kronos
President Dorel Kapelou II | position held | President of Kronos
President Dorel Kapelou II | position held | Organization of Business and Unions Party of Kronos
President Dorel Kapelou II | position held | President's Democratic Party of ABILA
ABILA | located in the administrative territorial entity | Kronos
President Dorel Kapelou II | member of political party | Party of Kronos Industrialists
President's Democratic Party of Kronos | country | Kronos
President Dorel Kapelou II | nationality | Kronesian
President Dorel Kapelou II | located in the administrative territorial entity | Kronos
Organization of Business and Unions Party | contains administrative territorial entity | President Dorel Kapelou II
President Dorel Kapelou II | member of political party | Organization of Business and Unions Party
Organization of Business and Unions Party | country | Kronos
President Dorel Kapelou II | position held | President's Democratic Party of Kronos
President Dorel Kapelou II | position held | President of ABILA
President Dorel Kapelou II | position held | Organization of Business and Unions Party
President Dorel Kapelou II | position held | Party of Kronos Industrialists of ABILA
ABILA | country | Kronos
President's Democratic Party of Kronos | located in the administrative territorial entity | Kronos
Organization of Business and Unions Party | located in the administrative territorial entity | Kronos
Party of Kronos Industrialists | contains administrative territorial entity | President Dorel Kapelou II",7033,0
419,"Protectors of Kronos | has member | ABILA
News Online Today | mentioned | Elian Karel
Protectors of Kronos | has member | Michale Kraft
News Online Today | mentioned | Protectors of Kronos
POK | member of | Protectors of Kronos
Protectors of Kronos | has member | Elian Karel
Kronos | protected by | Protectors of Kronos
ABILA | member of | Protectors of Kronos
Protectors of Kronos | has member | POK
News Online Today | publication date | 2009/03/13
Michale Kraft | member of | Protectors of Kronos
News Online Today | mentioned | Michale Kraft
News Online Today | mentioned | ABILA
News Online Today | mentioned | POK
News Online Today | mentioned | Kronos
Elian Karel | member of | Protectors of Kronos
Protectors of Kronos | protects | Kronos",200,0
420,"Protectors of Kronos | country | Elodis
Kronos | protected by | Protectors of Kronos
Elodis | contains administrative territorial entity | Tiskele Bend
Protectors of Kronos | located in the administrative territorial entity | Elodis
ELODIS | full form | Elodis
Griffith Mabel | located near | Tiskele River
Tiskele Bend | located in the administrative territorial entity | Elodis
ELODIS | located in the administrative territorial entity | Elodis
POK | full form | Protectors of Kronos
News Online Today | country | Elodis
News Online Today | publication date | 2001/09/01
Tiskele Bend | located near | Tiskele River
GAStech | located in the administrative territorial entity | Elodis
Homeland Illumination | located near | Tiskele River
ELODIS | country | Elodis
Kronos | country | Elodis
News Online Today | located in the administrative territorial entity | Elodis
POK | country | Elodis
Kronos | located in the administrative territorial entity | Elodis
Griffith Mabel | located in the administrative territorial entity | Elodis
Tiskele River | located in the administrative territorial entity | Elodis
GAStech | country | Elodis
Homeland Illumination | located in the administrative territorial entity | Elodis
GAStech | located near | Tiskele River
Griffith Mabel | country | Elodis
Elodis | contains administrative territorial entity | Tiskele River
Homeland Illumination | country | Elodis",356,0
421,"ABILA | location of | GRAND OPENING GASTECH
GASTECH-KRONOS | participant | Sten Sanjorge, Jr.
News Online Today | reported event | GRAND OPENING GASTECH
News Online Today | reported event | GASTECH-KRONOS
GRAND OPENING GASTECH | date | 1995/10/11
Kronos | participant in | GASTECH-KRONOS
Sten Sanjorge, Jr. | participant in | GASTECH-KRONOS
ABILA | location of | GASTECH-KRONOS
1995/10/11 | date of | GASTECH-KRONOS
GRAND OPENING GASTECH | participant | Kronos
GRAND OPENING GASTECH | location | ABILA
GASTECH-KRONOS | location | ABILA
Sten Sanjorge, Jr. | participant in | GRAND OPENING GASTECH
News Online Today | publication date | 1995/10/11
GRAND OPENING GASTECH | participant | Sten Sanjorge, Jr.
Kronos | participant in | GRAND OPENING GASTECH
GASTECH-KRONOS | date | 1995/10/11
1995/10/11 | date of | GRAND OPENING GASTECH",281,0
422,"GAStech International | participant | Tethan fields
GAStech International | participant | ABILA
GAStech International | participant | Kronos
Tethan fields | participant | GASTECH
News Online Today | publication date | 1994/09/24
News Online Today | covers event | GASTECH
GASTECH | participant | Tethan fields
GAStech International | inception | 1994/09/24
Tethan fields | participant | GAStech International
GAStech International | participant | Tiskele Bend
GASTECH | participant | Tiskele Bend
Tiskele Bend | participant | GASTECH
News Online Today | covers event | GAStech International
ABILA | participant | GASTECH
Tiskele Bend | participant | GAStech International
Kronos | participant | GAStech International
Kronos | participant | GASTECH
ABILA | participant | GAStech International",204,0
423,"Tiskele Bend Gas Fields | operator | GAStech
Ministry of Interior | oversees | Tiskele Bend Gas Fields
News Online Today | publication date | 1996/03/14
Minister Sarto | position held | Ministry of Interior
GAStech | country | ABILA, Kronos
Tiskele Bend | located in the administrative territorial entity | ABILA, Kronos
Ministry of Interior | country | ABILA, Kronos
News Online Today | reports on | Ministry of Interior
Tiskele Bend | country | ABILA, Kronos
Tiskele Bend Gas Fields | country | ABILA, Kronos
Ministry of Interior | located in the administrative territorial entity | ABILA, Kronos
News Online Today | reports on | Tiskele Bend Gas Fields
Tiskele Bend | contains | Tiskele Bend Gas Fields
News Online Today | reports on | GAStech
Tiskele Bend Gas Fields | located in the administrative territorial entity | ABILA, Kronos
Minister Sarto | country | ABILA, Kronos
GAStech | located in the administrative territorial entity | ABILA, Kronos
GAStech | operates | Tiskele Bend Gas Fields
Minister Sarto | oversees | Tiskele Bend Gas Fields
Minister Sarto | located in the administrative territorial entity | ABILA, Kronos
News Online Today | country | ABILA, Kronos
News Online Today | located in the administrative territorial entity | ABILA, Kronos
News Online Today | reports on | Minister Sarto",327,0
424,"Tiskele Bend Fields | related to | Drilling Poisoned Our Water
News Online Today | mentioned | GAStech
News Online Today | mentioned | Remember Juliana
Remember Juliana | country | ABILA
News Online Today | mentioned | Drilling Poisoned Our Water
Juliana Vann | country | ABILA
GAStech | related to | Drilling Poisoned Our Water
News Online Today | mentioned | Kronos
News Online Today | mentioned | 1998
News Online Today | mentioned | Juliana Vann
Kronos | country | ABILA
Protectors of Kronos | related to | Kronos
GAStech | country | ABILA
Tiskele Bend Fields | country | ABILA
News Online Today | mentioned | Protectors of Kronos
Juliana Vann | event | Remember Juliana
News Online Today | mentioned | Tiskele Bend Fields
News Online Today | publication date | 2001/08/31
1998 | event | Remember Juliana
Drilling Poisoned Our Water | country | ABILA
Protectors of Kronos | country | ABILA",234,0
425,"News Online Today | mentioned | ELODIS
Tiskele River | located in the administrative territorial entity | 25 km West of Abila
GAStech International | owns | Elodis
News Online Today | mentioned | 25 km West of Abila
25 km West of Abila | contains administrative territorial entity | Elodis
GAStech International | owns | ELODIS
News Online Today | mentioned | Kronos
Kronos | located in the administrative territorial entity | 25 km West of Abila
GAStech International | owns | Kronos
Tiskele River | located in the administrative territorial entity | Tiskele Bend
News Online Today | mentioned | Elodis
ELODIS | distance from | 25 km West of Abila
Elodis | distance from | 25 km West of Abila
Tiskele Bend | located in the administrative territorial entity | 25 km West of Abila
News Online Today | mentioned | Tiskele River
25 km West of Abila | contains administrative territorial entity | ELODIS
News Online Today | mentioned | Tiskele Bend
News Online Today | mentioned | GAStech International
Elodis | located in the administrative territorial entity | 25 km West of Abila
Elodis | located in the administrative territorial entity | Tiskele Bend
25 km West of Abila | contains administrative territorial entity | Tiskele River
GAStech International | distance from | 25 km West of Abila
News Online Today | mentioned | 20 km
GAStech International | located in the administrative territorial entity | 25 km West of Abila
News Online Today | publication date | 1997/04/24
Kronos | parent organization | GAStech International
News Online Today | mentioned | 1997/04/24
ELODIS | located in the administrative territorial entity | 25 km West of Abila
25 km West of Abila | contains administrative territorial entity | Tiskele Bend
Tiskele Bend | distance from | 25 km West of Abila
Kronos | distance from | 25 km West of Abila
ELODIS | located in the administrative territorial entity | Tiskele Bend
Tiskele River | distance from | 25 km West of Abila
Tiskele Bend | located in the administrative territorial entity | Tiskele River",522,0
426,"ABILA | located in the administrative territorial entity | POK
President Kapelou | located in the administrative territorial entity | POK
Minister of Health | located in the administrative territorial entity | POK
Vincent Kapelou | located in the administrative territorial entity | POK
POK | abbreviation for | Protectors of Kronos
Vincent Kapelou | position held | Minister of Health
ABILA | country | POK
Kronos | country | POK
News Online Today | country | POK
Vincent Kapelou | position held | President Kapelou
President Kapelou | country | POK
Protectors of Kronos | country | POK
Vincent Kapelou | country | POK
Protectors of Kronos | located in the administrative territorial entity | POK
News Online Today | located in the administrative territorial entity | POK
Minister of Health | country | POK
Kronos | located in the administrative territorial entity | POK
News Online Today | publication date | 2012/03/09",224,0
427,"ABILA | located in the administrative territorial entity | POK
News Online Today | publication date | 12 August 2009
ABILA | country | POK
Elian Karel | located in the administrative territorial entity | POK
Kronos | country | POK
Elian Karel | country | POK
News Online Today | country | POK
News Online Today | located in the administrative territorial entity | POK
Kronos | located in the administrative territorial entity | POK",105,0
428,"Protectors of Kronos | location | the presidential manor
the presidential mansion | location | Abila
Abila | contains administrative territorial entity | Protectors of Kronos
Abila | contains administrative territorial entity | News Online Today
Protectors of Kronos | inception | Tuesday
the capital building | location | Abila
the presidential mansion | inception | Tuesday
Abila | contains administrative territorial entity | the presidential mansion
the presidential manor | inception | Tuesday
Abila | inception | Tuesday
the presidential manor | contains administrative territorial entity | Protectors of Kronos
the presidential mansion | location | the presidential manor
News Online Today | publication date | 2012/06/21
the capital building | location | the presidential manor
News Online Today | inception | Tuesday
the presidential manor | location | Abila
the capital building | contains administrative territorial entity | Protectors of Kronos
the capital building | location | the presidential mansion
Protectors of Kronos | location | Abila
Protectors of Kronos | location | the capital building
Protectors of Kronos | location | the presidential mansion
News Online Today | location | the presidential manor
News Online Today | location | the presidential mansion
News Online Today | location | Abila
the presidential manor | location | the presidential mansion
the capital building | inception | Tuesday
Abila | contains administrative territorial entity | the presidential manor
the presidential manor | location | the capital building
the presidential mansion | location | the capital building
the presidential mansion | contains administrative territorial entity | Protectors of Kronos
Abila | contains administrative territorial entity | the capital building
News Online Today | location | the capital building",353,0
429,"POK | inception | 19 June 2009
ABILA | contains administrative territorial entity | Silvia Marek
Silvia Marek | member of | Protectors of Kronos
Kronos | protected by | Protectors of Kronos
Elian Karel | country | ABILA
Silvia Marek | country | ABILA
Juliana Vann | country | ABILA
News Online Today | mentioned | POK
News Online Today | mentioned | Kronos
News Online Today | mentioned | Juliana Vann
POK | full form | Protectors of Kronos
News Online Today | mentioned | Elian Karel
News Online Today | mentioned | 19 June 2009
ABILA | contains administrative territorial entity | Kronos
News Online Today | publication date | 2012/06/20
Kronos | country | ABILA
News Online Today | country | ABILA
News Online Today | mentioned | ABILA
ABILA | contains administrative territorial entity | Elian Karel
Protectors of Kronos | protects | Kronos
Elian Karel | member of | Protectors of Kronos
News Online Today | mentioned | Protectors of Kronos
Protectors of Kronos | inception | 19 June 2009
Protectors of Kronos | abbreviated form | POK
News Online Today | mentioned | Silvia Marek
ABILA | contains administrative territorial entity | Juliana Vann
Juliana Vann | member of | Protectors of Kronos
ABILA | contains administrative territorial entity | POK
News Online Today | mentioned | 2012/06/20
Protectors of Kronos | country | ABILA
POK | country | ABILA
ABILA | contains administrative territorial entity | Protectors of Kronos",398,0
430,"GAStech International | inception | 1998/11/14
WELLNESS FOR ALL | country | Government of Kronos
News Online Today | located in the administrative territorial entity | Government of Kronos
News Online Today | publication date | 1998/11/14
WELLNESS FOR ALL | located in the administrative territorial entity | Government of Kronos
News Online Today | country | Government of Kronos
KRONOS GOVT | located in the administrative territorial entity | Government of Kronos
ABILA, Kronos | inception | 1998/11/14
GASTECH | country | Government of Kronos
Government of Kronos | inception | 1998/11/14
Wellness for All (WFA) | inception | 1998/11/14
GAStech International | country | Government of Kronos
KRONOS GOVT | inception | 1998/11/14
Wellness for All (WFA) | country | Government of Kronos
Wellness for All (WFA) | located in the administrative territorial entity | Government of Kronos
WELLNESS FOR ALL | inception | 1998/11/14
GAStech International | located in the administrative territorial entity | Government of Kronos
ABILA, Kronos | country | Government of Kronos
News Online Today | inception | 1998/11/14
ABILA, Kronos | located in the administrative territorial entity | Government of Kronos",309,0
431,"Protectors of Kronos | country | Elodis
Kronos | contains administrative territorial entity | Elodis
President | country | Elodis
Protectors of Kronos | located in the administrative territorial entity | Kronos
Karel | member of | Protectors of Kronos
Protectors of Kronos | located in the administrative territorial entity | ABILA
POK | acronym | Protectors of Kronos
President | position held by | Karel
Elian Karel | position held | President
Elodis | contains administrative territorial entity | ABILA
ABILA | located in the administrative territorial entity | Elodis
President | located in the administrative territorial entity | Elodis
News Online Today | publication date | 2009/03/13
ABILA | country | Elodis
President | position held by | Elian Karel
Karel | given name | Elian Karel
Kronos | country | Elodis
ABILA | located in the administrative territorial entity | Kronos
Kronos | located in the administrative territorial entity | Elodis
Elodis | contains administrative territorial entity | Kronos
Elian Karel | country | Elodis
Karel | position held | President
Karel | country | Elodis
Elian Karel | located in the administrative territorial entity | Elodis
Protectors of Kronos | country | ABILA
Elian Karel | member of | Protectors of Kronos
Karel | located in the administrative territorial entity | Elodis",324,0
432,"MDMC | also known as | Asteria
News Online Today | covers | Tulip Blossom
Multi-Country Task Force | participant in | Interpol
News Online Today | covers | Asteria
MDMC | also known as | spice dreams
Interpol | date of establishment | 2013/10/22
MDMC | also known as | cotton candy
News Online Today | covers | MDMC
News Online Today | publication date | 2013/10/22
Interpol | participant in | Multi-Country Task Force
News Online Today | covers | spice dreams
News Online Today | covers | Interpol
MDMC | also known as | Tulip Blossom
MDMC | also known as | methyldimethyl cathinone
MDMC | also known as | Tethys
Multi-Country Task Force | date of establishment | 2013/10/22
News Online Today | covers | methyldimethyl cathinone
News Online Today | covers | cotton candy
News Online Today | covers | Tethys
News Online Today | covers | Multi-Country Task Force",234,0
433,"News Online Today | located in the administrative territorial entity | Tethys
Sanjorge Gas company | located in the administrative territorial entity | Tethys
Tethan Gas Industry | industry | Gas Industry
News Online Today | country | Tethys
Sanjorge Gas company | industry | Gas Industry
Sten Sanjorge | located in the administrative territorial entity | Tethys
Sten Sanjorge | country | Tethys
Tethys | contains administrative territorial entity | Tethan Gas Industry
News Online Today | publication date | 1982/10/03
Tethan Gas Industry | inception | 1982/10/03
Tethan Gas Industry | country | Tethys
Centrum | country | Tethys
Tethys | contains administrative territorial entity | Centrum
Sten Sanjorge | occupation | Gas Industry
Tethys | contains administrative territorial entity | Sanjorge Gas company
Tethys | contains administrative territorial entity | Sten Sanjorge
Tethan Gas Industry | located in the administrative territorial entity | Tethys
Sanjorge Gas company | country | Tethys
Sanjorge Gas company | employer | Sten Sanjorge
Sten Sanjorge | inception | 1982/10/03
Centrum | located in the administrative territorial entity | Tethys
Sten Sanjorge | employer | Sanjorge Gas company
Sanjorge Gas company | inception | 1982/10/03",341,0
434,"John Rathburn | notable work | Tethys
News Online Today | notable work | Tethys
Tethan Ministry of Foreign Affairs | notable work | GASTech
News Online Today | notable work | John Rathburn
News Online Today | notable work | Tethan Ministry of Foreign Affairs
2014/01/21 | point in time | Tethys
John Rathburn | located in the administrative territorial entity | Kronos
GASTech | country | American
Protectors of Kronos | located in the administrative territorial entity | Kronos
Tethan Ministry of Foreign Affairs | located in the administrative territorial entity | Tethys
News Online Today | notable work | GASTech
GASTech | notable work | Tethan Ministry of Foreign Affairs
GASTech | located in the administrative territorial entity | Kronos
Protectors of Kronos | part of | Kronos
Tethan Ministry of Foreign Affairs | country | American
GASTech | notable work | John Rathburn
Tethys | notable work | GASTech
Tethys | country | American
Kronos | notable work | Tethys
Protectors of Kronos | country | American
Tethys | notable work | John Rathburn
2014/01/21 | point in time | Tethan Ministry of Foreign Affairs
John Rathburn | employer | GASTech
GASTech | notable work | Tethys
GASTech | notable work | Protectors of Kronos
John Rathburn | notable work | GASTech
Tethys | notable work | Tethan Ministry of Foreign Affairs
John Rathburn | notable work | Protectors of Kronos
Tethys | located in the administrative territorial entity | Kronos
News Online Today | publication date | 2014/01/21
Kronos | notable work | GASTech
Kronos | notable work | John Rathburn
John Rathburn | notable work | Tethan Ministry of Foreign Affairs
Tethan Ministry of Foreign Affairs | located in the administrative territorial entity | Kronos
News Online Today | country | American
2014/01/21 | point in time | John Rathburn
2014/01/21 | point in time | GASTech
2014/01/21 | point in time | News Online Today
John Rathburn | nationality | American
Kronos | country | American
Tethan Ministry of Foreign Affairs | notable work | Tethys
Kronos | notable work | Tethan Ministry of Foreign Affairs
Kronos | notable work | Protectors of Kronos
Tethan Ministry of Foreign Affairs | notable work | John Rathburn",593,0
435,"TAX MEASURE DEFEATED, POK EFFORTS STALLED | publication date | 2001/03/22
TAX MEASURE DEFEATED, POK EFFORTS STALLED | location | Abila
Minister of Health Cesare Nespola | country | Abila
Abila | contains administrative territorial entity | General Assembly
Minister of Health Cesare Nespola | position held | General Assembly
Minister of Health Cesare Nespola | country | Kronos
TAX MEASURE DEFEATED, POK EFFORTS STALLED | publisher | News Online Today
TAX MEASURE DEFEATED, POK EFFORTS STALLED | location | Kronos
News Online Today | location | Kronos
General Assembly | country | Kronos
General Assembly | country | Abila
News Online Today | location | Abila
News Online Today | publication date | 2001/03/22
Kronos | contains administrative territorial entity | General Assembly",208,0
436,"Centrum | contains | Kronos
Tethys | contains | GAStech International
Miriam Avila | employer | GAStech International
Centrum | contains | GAStech International
GAStech International | owner | Kronos
News Online Today | publication date | 2014/01/20
GASTECH LEADERSHIP CONFIRMED MISSING | publication date | 2014/01/20
5 million cubic meters | producer | Kronos
Kronos | production quantity | 5 million cubic meters
GASTECH LEADERSHIP CONFIRMED MISSING | publisher | News Online Today
5 million cubic meters | producer | GAStech International
Kronos | owner | GAStech International
ABILA | contains | Kronos
GAStech International | location | Tethys
ABILA | contains | GAStech International
Kronos | headquarters location | ABILA
Kronos | location | Centrum
GAStech International | headquarters location | ABILA
Kronos | location | Tethys
GAStech International | location | Centrum
GAStech International | production quantity | 5 million cubic meters
Tethys | contains | Kronos",254,0
437,"Protectors of Kronos | country | Kronos
Kronos | contains administrative territorial entity | Abila
POK | inception | 2009/02/23
News Online Today | mentioned | Protectors of Kronos
POK | also known as | Protectors of Kronos
Protectors of Kronos | inception | 2009/02/23
Protectors of Kronos | also known as | POK
POK | located in the administrative territorial entity | Kronos
POK | country | Kronos
Abila | located in the administrative territorial entity | Kronos
Abila | country | Kronos
News Online Today | mentioned | POK
News Online Today | mentioned | Kronos
News Online Today | mentioned | Abila
News Online Today | publication date | 2009/02/23",173,0
438,"Kronos | affiliated with | News Online Today
ABILA | affiliated with | Ravi Danisliau
News Online Today | resident of | ABILA
ABILA AIRPORT | located in the administrative territorial entity | ABILA
Kronos | resident of | ABILA
ABILA | contains administrative territorial entity | ABILA AIRPORT
Ravi Danisliau | affiliated with | News Online Today
News Online Today | publication date | 2014/01/20
ABILA AIRPORT | affiliated with | News Online Today
News Online Today | affiliated with | Ravi Danisliau
ABILA | contains administrative territorial entity | Kronos
Kronos | country | ABILA
News Online Today | country | ABILA
ABILA | affiliated with | News Online Today
Ravi Danisliau | resident of | ABILA
ABILA AIRPORT | affiliated with | Ravi Danisliau
ABILA AIRPORT | affiliated with | Kronos
