index,processed_entities,output_tokens
224,John Henry Dearle; Edward Burne-Jones; J. H. Dearle; London; British; Art Director; Morris & Co.; William Morris; Persian; Turkish; twentieth century; 15 January 1932; Pre-Raphaelite Brotherhood,84
225,Film division; American; Allison Janney; Armistead Maupin; The Night Listener; Stockard Channing; Best Female Actress; The Business of Strangers; Patrick Stettner; Sundance Film Festival; AFI nomination; Flux; Grand Jury Prize,95
226,Narayana; Pandava; Ulupi; Draupadi; Krishna; Indra; Kuru Kingdom; King Pandu; Nara; Balarama; Lord Krishna; Indian; Lord Vishnu; Mahabharata; Babruvahana; Devanagari; Abhimanyu; Srutakarma; Bhagavad Gita; Chitrngad; Subhadra; Iravan; Kunti; Arjuna,127
227,"Steven Dean Moore; Manjula; Mike Scully; Springfield Retirement Castle; Hindu; Fox network; United States; Richard Appel; The Simpsons; Apu Nahasapeemapetilon; November 16, 1997",75
228,Daniel Ajayi-Adeniran; Ibadan; Nigeria; North America; United States; Roosevelt Island; Pentecostal; Bronx; Sani Abacha,79
229,"Japanese; GKIDS; Spring 2017; Nippon Television Network; Tokyo; December 2016; Ocean Waves; Shikoku; May 5, 1993; December 28, 2016; Studio Ghibli; Nippon TV; Tokuma Shoten; Kōchi; Kaori Nakamura; Tomomi Mochizuki; Saeko Himuro",109
230,Northmavine peninsula; Mavis Grind; Hillswick; Shetland Islands; UK; Atlantic Ocean; Brae; Viking; Bronze Age; Shetland Mainland; A970 road; Shetland; North Sea,70
231,Samoa; Tonga; New Zealand; age 15; Cook Islands; age 18; Tuvalu; Solomon Islands; Oceania; Kiribati; Vanuatu; Australia; Papua New Guinea,73
232,Philly Joe Jones; High Step; EMI; Prestige Records; John Paul Jones; 98240; Whims of Chambers; Sonny's Crib; Trane's Blues; Blue Train; Sonny Clark; John Coltrane; A Blowin ' Session; Big Four; Paul Chambers; Cecil Taylor; One for Four; Blue Note Records; Hard Driving Jazz; Johnny Griffin; United Artists Records,122
233,"May 26, 2014; Tehran University; Iran; six years; 1950s; Vancouver; Avicenna Mausoleum; Houshang Seyhoun; August 22, 1920; Iranian Revolution; Iranian; Beaux arts; Paris; Hamadan; University of Tehran",126
234,"U.S.; New York magazine; London; Verve Forecast Records; UK; Thirteens; iTunes Store; Barnes & Noble; January 2004; Ryan Adams; 16 September 2008; Polydor Records; New York City; Leona Naess; 11 May 2009; Arne Næss, Jr.; Samuel Dixon",94
235,Babyfingers; The Third Reich and Roll; Fingerprince; The Residents; W.E.I.R.D.; November 1977; September 1977,70
236,"JR Shaw; Canadian Thanksgiving; Shaw Communications; Brigden Road; Lambton County; Brigden Community Fest; Kimball; Michigan; Police village; Brigden Fair; Oil City; Courtright Line; Board of Trustees; May 26, 1939; Ontario; Canada; Michigan Central Railroad; St. Clair; William Wharton Brigden; Village Chairman; Battle Creek; Sarnia; Brigden",125
237,"Refuse Fascism; Bob Avakian; Donald Trump; RCP; Carl Dix; Stop "" Stop and Frisk ""; New York City; August 2017; Revolution",85
238,"American Airlines Group; 47 states; PSA Airlines, Inc.; Tempe; US Airways Group Inc.; US Airways; Doug Parker; US Airways Express; America West Airlines; December 9, 2013; 6.1 %; ACE Aviation Holdings; AMR Corporation; Air Canada; Arizona; Piedmont Airlines, Inc.",98
239,"Jerry Steiner; All-American team; January 7, 1918; 194647 season; 194546 season; National Basketball League; World War II; Indianapolis Kautskys; Shortridge High School; Indianapolis; Florida; Bonita Springs; February 1, 2012; American; Bulldogs; Fort Wayne Zollner Pistons; NBL; Butler University",117
240,Minister for Social Protection; 1992 to 1997; Deputy Prime Minister; Irish Labour Party; TD; Eamon Gilmore; Joan Burton; Leader of the Labour Party; 1995 to 1997; 2016 general election; 2002 general election; 1993 to 1994; Teachta Dla; Dil ireann; 2014 to 2016; 2007 to 2014; 1994 to 1997; May 2016; Tnaiste; 2011 to 2016; 1992 general election; 1997 general election; Dublin West constituency; 1 February 1949,194
241,"Derek Shepherd; Samantha Sloyan; Rob Hardy; 9.55 million; 1849 demographic; Caterina Scorsone; Rick Porter; How to Save a Life; Patrick Dempsey; 241st; Grey's Anatomy; Kevin McKidd; Ellen Pompeo; Flight; Sarah Drew; Shonda Rhimes; April 23, 2015; United States; Dr. Penelope Blake; CT scan; ABC; Chandra Wilson; American; twenty-first; season eight; eleventh season",133
242,"68; 215 km; EU; Joutseno; South-East Finland; Earth Hour City Challenge 2014; 13,000; January 1, 2010; St. Petersburg; Russian; January 1, 2009; South Karelia; Ylämaa; WWF; Lake Saimaa; Russia; Finland; Helsinki; Lappeenranta",129
243,"St. Joseph's Cemetery; Brooklyn; Connecticut; Democrat; July 31, 1946; Danbury; Sixty-first Congress; Sixty-seventh Congress; New Jersey; March 4, 1921; Keyport; Sixty-third Congress; November 3, 1865; Sixty-fifth Congress; James Paul Maher; U.S. Representative; St. Patrick's Academy; New York; March 4, 1911; Keansburg; Sixty-second Congress",169
244,November 1956; United Kingdom; Grade II listed building; First World War; 1951 UK general election; Jacob Epstein; Prime Minister of South Africa; William Morrison; Winston Churchill; Imperial War Cabinet; London; October 1951; Lord Palmerston; September 1950; Parliament Square; Jan Smuts; South Africa; David Lloyd George,125
245,American; Atlantic and Pacific Oceans; Panama Canal; Panama; United States; World War II; Allied war effort; Latin America; Panamanian; Lend-Lease; Canal Zone; American Theater; Western Hemisphere,66
246,Sir John Smyth; Japanese Malayan Campaign; East Asia; British Army; British Commonwealth; First World War; Second World War; Malaya; Imperial Japanese Army; Britain; 31 January 1966; 26 December 1887; Arthur Ernest Percival; Battle of Singapore,72
247,Cadillac; second World War; first World War; Pontiac; General Motors; Oakland; Detroit; Holden; Oldsmobile; 1950s; Buick; Vauxhall; Chevrolet; Chevrolets; Australian; Holden New Zealand Limited; British Vauxhalls; New Zealand; 1970s; 4 January 1926,105
248,"Piton des Neiges; Madagascar; Rodrigues; three million years old; Cirques; Miocene; 1 million; Piton de la Fournaise; Mauritius; two million years ago; Indian Ocean; Pliocene; Pleistocene; 7.8 million; 20,000 years; Mascarene Archipelago; Runion; Runion hotspot; French",104
249,Tadhg Kennelly; Irish Gaelic footballers; Sydney Swans; Australian rules football; Ireland; 2000s; Brownlow Medal; VFL / AFL clubs; mid-1980s; Gaelic footballers; Irish Experiment; Melbourne Football Club; AFL; 2005 AFL Grand Final; Tommy Walsh; Australia; Jim Stynes,105
250,leeks; Drake Hotel; snapping turtle; bell peppers; Chicago Tribune; Samuel Bookbinder; United States of America; Drake; celery; Old Original Bookbinder's; Chicago; Philadelphia; garlic; mushrooms; carrots; onions,78
251,Duran; Daule; Guayas; Durn; Samborondón; Rafael Mendoza Avils; Eloy Alfaro Delgado; National census; Guayaquil; Eloy Alfaro; July 2007; Leon Febres Cordero; Ecuador; Guayas River; Babahoyo,92
252,Kamikaze; Maln; 1990s; Hermtica; Thrash metal; Alakran; Horcas; Ricardo Iorio; Riff; Pappo; Almafuerte; Argentina; Walter Giardino; V8; glam metal; 1980s; Lethal; British heavy metal; Rata Blanca,96
253,Miranda state; Spanish America; South American; Caracas; Maiori christifidelium; Dioecesis Guarenensis; January 1997; nineteenth century; Ambrosio Plaza Street; Virgin Mary; Guarenas; Ambrosio Plaza; Pope John Paul II; Bolivia; Catholic Church; Bolívar Square; Cathedral of Guarenas; Venezuela; Diocese of Guarenas; Our Lady of Copacabana; Oreste Giovanni Della Piana,159
254,Valley of the Rogue State Park; Foots Creek; Jackson County; O. G. Foot; Silas Draper; Oregon; Interstate 5; United States Census Bureau; 2010 Census; Bolt; 19th century; Rogue River; Oregon Route 99,71
255,"White Terror; 21,851.53 kronor; Finnish Civil War; Truth about Finland; 6,920 kronor; 100,000; Politiken; Social Democratic Left Party; February 1918; Finland; Sweden; 14,518.73; Swedish; Sven Linderot",87
256,14 June 1945; President Joseph Estrada; Cervantes; Filipino; President Manuel Luis Quezon; President Ramon Magsaysay; Bessang Pass Natural Monument; 10 August 1954; Philippines; April 2000; Proclamation No. 55; Proclamation No. 284; World War II; Tirad Pass National Park; Proclamation No. 294; Battle of Bessang Pass; Bessang Pass National Shrine; Ilocos Sur; Imperial Japanese Army; Japan,156
257,Baimiaozhu; China; Erlitou period; Zhengzhou; Wucheng; Wuhan; Panlongcheng; Jingnansi; Late Erlitou; Early Erligang; Yangtze river; Huangpi; Hubei; Erligang culture; Hubei Province,95
258,"Juan Luis Guerra; Havana; Alejandro Sanz; Calle 13; El Tren de los Momentos; 8th Annual Latin Grammy Awards; Spanish; La Llave de Mi Corazn; WEA Latina; Miami; Antonio Carmona; Juanes; Shakira; Madrid; November 7, 2006; Bahamas; Lulo Prez; Ketama; 50th Annual Grammy Awards; 2006 in music",138
259,kangaroos; Setonix; Two Peoples Bay Nature Reserve; Western Australia; quokka; Albany; Setonix brachyurus; macropod; Bald Island; Rottnest Island; Gilbert's potoroo; Perth; wallabies,74
260,Google Calendar; Google Drive; Machine Learning; Google Springboard; Google Contacts; Google Sites; AI; Google Maps; Gmail; Calendar; Google Docs; Google apps,51
261,Baltic Sea; Soviet; Republic of Karelia; Black Sea; Kola Peninsula; English; Barents Sea; Karelia; Yellow Sea; Kholmogory; Kanin Peninsula; Murmansk Oblasts; White Sea  Baltic Canal; Arkhangelsk; White Sea; Russia; Red Sea; Pomors; French,95
262,21 April 1941; Hornet (CV-8); Japanese; Ensign George Gay; 29; 13 March 1921; 4-5 June 1942; Torpedo Squadron 8; Distinguished Flying Cross; VT-8; United States Navy; Lexington (CV-2); aviation radioman third class; Battle of Midway; Los Angeles; 5 June 1942; California; TBD Devastator; Robert Kingsbury Huntington,116
263,English; Led Zeppelin DVD; Eastern; Led Zeppelin; Presence; summer of 1975; March 1976; Stairway to Heaven; Achilles Last Stand; Robert Plant; Kashmir; Jimmy Page,76
264,fourth generation; September 1994; Scepter; Tiara; third-generation Avalon; Arthurian legend; November 2006; Toyota Aurion; Georgetown; Middle East; April 2000; Corona; Crown; June 2005; Puerto Rico; United States; Toyota; Toyota Cressida; Toyota Camry V6; Corolla; Camry; Canada; South Korea; American; Toyota Avalon; TMMK; Japan; Avalon; Australia; Lexus ES; Kentucky,155
265,"Truth in Music Advertising act; Supremes; Truth in Music; Jon "" Bowzer "" Bauman; U.S. states; Sha Na Na; 34 of the 50 states; U.S. Congress; musical recording artists; Mary Wilson",80
266,British Government; Cranford Protocol; west; 15 January 2009; June 2015; Planning Inspectorate; 2 February 2017; London Borough of Hounslow; May 2010; Heathrow Airport Holdings; September 2010; London Heathrow Airport; Cranford Agreement; east; March 2014; 31 July 1952; London Borough of Hillingdon; Labour Government; London; BAA; Cranford; northern runway; May 2013; southern runway; Coalition Government,183
267,Cy Becker; Hollick-Kenyon; Horse Hill Community League; Alberta; Gorman; Edmonton City Council; Brintnell; McConachie; Edmonton; Pilot Sound; Canada; Anthony Henday Drive,64
268,"Émile Coornaert; Ici Paris; Suzanne Feingold; Raymond Burgard; Henri de Montfort; Marietta Martin; World War II; 405,000; Paul Petit; 700,000; Paris; 1970s; Lagardère; French; Algeria",104
269,"China; Chinese; Luan Bo; 1984 Winter Olympics; Sui Wenjing; Dortmund; Han Cong; Zhu Qiuying; World Championships; April 16, 1965; Yao Bin; Heilongjiang; Ding Yang; West Germany; Ren Zhongfei; Harbin",107
270,Beiselia mexicana; Anacardiaceae; Southern Hemisphere; frankincense and myrrh family; Burseraceae; 65 Mya; Asia; frankincense; Dacryodes excelsa; Bursera simaruba; myrrh; 53 Mya; Tabonuco; Boswellia sacra; Paleocene; Americas; gumbo limbo; Eocene; North America; Sapindales; Mexico; Commiphora myrrha; incense tree family; Africa; Eastern Hemisphere; torchwood family; Western Hemisphere,149
271,parliament; African National Congress; ANC; Thabo Mbeki; South African constitution; KK Khumalo; April 2009; 22 September 2008; National Working Committee; Kgalema Motlanthe; National Executive Committee; ANC parliamentary caucus; National Conference; South African,79
272,Vietnam War; Indian Ocean; Cambodia; Khmer Rouge; Five Year Plan; 9th century; Sihanouk; French; Lon Nol,42
273,"Portugal; Madeira; FLAMA; Mozambique; April 25, 1974; Third Republic; Azores; Estado Novo; President; PSD; regional government of Madeira; Portuguese North Atlantic; European People's Party; Frente de Libertao dos Aores; PREC; Angola; Alberto Joo Jardim; Africa; Vice-president; 1974-1976",145
274,"September 1, 1994; 1989 presidential election; Dignity Battalions; Panamanian military; President of Panama; September 28, 2009; Manuel Noriega; May 12, 1936; Democratic Revolutionary Party; Ricardo Martinelli; Arnulfo Arias; U.S.; Ernesto Prez Balladares; Panama's National Assembly; United States; Argentina; Martn Torrijos; national police force; Panama; Carlos Duque; Panameista Party",168
275,West Virginia Route 28; William Washington House; Romney; African-American; Susan Blue Parsons; Ralph W. Haines; United States; Washington Place; Blacks Hill; Annie Washington; Wappocomo plantation; Hampshire County; William; West Virginia,91
276,Bahram Beyzai; Abbas Kiarostami; Masoud Kimiai; 22 June 1940; 94; Sohrab Shahid-Saless; Persian; Nasser Taghvai; Palme d'Or; Koker trilogy; Iranian; Cannes Film Festival; Parviz Kimiavi; 4 July 2016; Ali Hatami; Dariush Mehrjui; Certified Copy; Iranian New Wave; Like Someone in Love; Taste of Cherry; Japan; Italy; 1960s; The Wind Will Carry Us; Close-Up,171
277,"Dan Gennoe; Tomcats Screaming Outside; Roland Orzabal; British; September 11, 2001; Curt Smith; United States; 2 April 2001; Gold Circle Records; Tears for Fears; Amazon.com; Alan Griffiths",73
278,"December 31, 2014; Mill Creek, Washington; Mayor Pro-Tem; November 25, 2014; Mike Hope; Washington State; summer 2014; Mill Creek City Council; Mark Harmsworth; I-405; US2; Sound Transit; Jay Inslee; January 2014; American; Doug Roulstone; Republican",102
279,"5.99 million; Brian Scully; Jessica Stroup; Brian; Death; Fox; Nielsen ratings; February 13, 2011; Phil LaMarr; Peter; Family Guy; Alcoholics Anonymous; H. Jon Benjamin; United States; Laura Vandervoort; Carrie Fisher; John Holmquist; Friends of Peter G.; ninth season; Adam Carolla",110
280,Chinese; Australian; Miami; Maggie Cheung; Miss Photogenic; Miss Hong Kong; Joyce Mina Godenzi; Miss Universe 1984; 1988 Hong Kong Film Awards; Eastern Condors; Best Supporting Actress; Sammo Hung,77
281,Transcaucasia; Greater Caucasus; Abazins; Black Sea; Inal-kuba; Battle of the Caucasus; Wehrmacht; Pskhu-Nykha; Turkey; World War II; Abkhazia; Pskhu; Russia; Bzyb; Ottoman Empire; Russians; Sukhumi district; Abkhaz people,109
282,Cassin's finch; Arizona; Mexico; Southern California; raspberry red; western North America; John Cassin; American rosefinches; Baja California; Haemorhous; Fringillidae; purple finch; northern New Mexico; Haemorhous cassinii,87
283,English; Whitley Bay; Firhill; Albion Rovers; January 2013; Scottish Premiership; 26 May 1991; Christie Elliott; Jags; Jarrow; Partick Thistle; Scottish Second Division; Scottish First Division,74
284,Europe; Bajofondo Tango Club; tango; Bajofondo; United States; Latin America; Ro de la Plata; Argentina; Asia; Uruguay,46
285,Tongass National Forest; U.S.; Mendenhall Glacier; Juneau Icefield; Mendenhall Lake; Mendenhall Valley; Sitaantaagu; Alaska; Juneau,73
286,Lombardy; Duchy of Milan; Battle of Carpi; Marshal Catinat; Prince Eugene of Savoy; Marshal Villeroi; Franco; Savoyard; Austrians; Dutch Republic; King Louis XIV; Chiari; War of the Spanish Succession; Leopold I; Spanish; July; Maritime Powers; Emperor; Italian peninsula; 1 September 1701; England; Italy,120
287,state courts; right to present a defense; Due Process Clause; Washington v. Texas; trial judge; 388 U.S. 14; Taylor v. Illinois; efficient justice; Compulsory Process Clause; United States Supreme Court; Jackie Washington; Supreme Court; Texas; Illinois; Constitution; Sixth Amendment; federal courts; defense attorney; Fourteenth Amendment,113
288,"February 27, 2014; India; A. R. Rahman; Salman Khan; September 29, 2014; Mumbai; Vogue Empower; Aa Bhi Jaa; Raja Ravi Varma; Kapil Sibal",81
289,late 1920s; Germany; constructivism; Bauhaus; Carl Buchheister; acrylic glass; Hanover; Kurt Schwitters; wood; Nazism; German; 2 February 1964; Wassily Kandinsky; World War II; Paris; Galerie Lambert Weyl; Dada; aluminum; 17 October 1890; twine,109
290,"Ålesund Airport, Vigra; Roald; Roald Municipality; Vigra Church; 808; Giske Municipality; Vigra Municipality; Norway; Ålesund; Møre og Romsdal county; Vigra",92
291,"Best Supporting Actor; Best Director; 23rd Cannes Film Festival; $ 12.6 million; Jane Fonda; Best Supporting Actress; Bonnie Bedelia; 42nd Academy Awards; James Poe; Red Buttons; $ 4.86 million; December 10, 1969; Depression-era; Michael Sarrazin; Susannah York; United States; Horace McCoy; Bruce Dern; Sydney Pollack; American; Gig Young; Best Adapted Screenplay; Robert E. Thompson; Best Actress",162
292,"Sarajevo; Albertville; 1994 Lillehammer games; March 18, 1964; 1,000 meter; March 1995; one bronze medal; long-track speed skating; world championship; World Championships; Bonnie Kathleen Blair; 1988 Winter Olympics; Olympic; five gold medals; United States; short-track; 1992 Winter Olympics; Milwaukee; Calgary; American; four Olympics; 500 meters",151
293,IRT Dyre Avenue Line; B Division; IRT; Independent Subway System; CBTC; New York metropolitan area; A Division; MTA; 1930s; 1960s; BMT; IND; Automatic Block Signaling; New York City Subway,98
294,"McKim, Mead and White; Boston Landmark; New England Conservatory; Handel and Haydn Society; Boston, Massachusetts; Berklee College of Music; Symphony Hall; Boston Symphony Orchestra; Boston Pops Orchestra; 301 Massachusetts Avenue",79
295,"October 28, 2010; China; Chinese; Qing Dynasty; Ramon Magsaysay Award; Friends of Nature's Li Bo; Greenpeace; Liang Qichao; Asian; 28 October 2010; Maoist Cultural Revolution; Liang Congjie; Zhu Rongji; People's Republic of China; Beijing; 4 August 1932; Peking University; Environmentalist Ma Jun; Academy for Chinese Culture; Friends of Nature; Japan; Liang Sicheng; Tibetan antelope; Western China",156
296,"Human; gray wolves; Canis latrans orcutti; Idaho; foxes; Late Pleistocene era; western North America; Holocene; Ice Age coyote; dire wolves; southern California; Bergmann's rule; sabre-toothed cats; carnassial; Quaternary extinction event; 1,000 years; Pleistocene coyote; La Brea Tar Pits",108
297,"October 8, 2018; Windows 8.1; Intel; Kaby Lake; 14 nm; GPU; Skylake; Core i9-9980XE Extreme Edition; Microsoft; 6th-generation Core; CPU; Broadwell; Cannon Lake; Coffee Lake; August 2015; Windows 10",97
298,Cardinal; Marguerite of Enghien; Louis II de Luxembourg; 27 September 1437; Luxembourg; Bishop of Ely; Lewis of Luxembourg; Charles VII of France; Ely; Rouen; Henry VI; Archbishop of Rouen; France; Lord of Beauvoir; Lancastrian regime; 18 September 1443; England; John of Luxembourg,111
299,1986  1993; Orlando Cole; Colburn School; 1993 to 2003; Leonard Rose; Cleveland Orchestra; Los Angeles Philharmonic; Piatigorsky; Curtis Institute of Music; Lynn Harrell; USC Thornton Symphony; USC Thornton Chamber Orchestra; Walter Naumburg Competition; American; Ronald Leonard; Rhode Island; Vermeer Quartet; Eastman School of Music; USC Thornton School of Music,152
300,"inter-Caribbean; Boeing 747; Vieux Fort Quarter; SLASPA; Airbus A330; Fire Category 9; 53.4  km; 33.2  mi; Saint Lucia; Caribbean Dispatch Services; George F. L. Charles Airport; 500,000; Boeing 777; Caribbean; Airbus A340; Castries",110
301,Mexico; Pahuatln; Guerrero; Spanish; La Huasteca; San Pablito; Sierra Norte de Puebla; United States; Guajalote Mountain; Otomi; amate; Puebla,61
302,First World War; Pau; President Albert Lebrun; Versailles; Melun; 14 July 1937; Second World War; Colonel Picot; 1 October 1945; Paris; Champs-Élysées; Schomberg barracks; NCOs; Augereau barracks,116
303,Nazi German; VE Day; electrical power grid; June 1944; May 1945; Milice française; Atlantic Wall; airmen; Maquis; Allies; European theatre; Vichy; Wehrmacht; French Resistance; communists; October; liberals; Vichy régime; French society; transport facilities; Roman Catholics; France; German; Second World War; Provence; 6 June 1944; French nationhood; Normandy; 15 August; telecommunications networks; Waffen SS; Allied soldiers; anarchists,163
304,"Hunter Pass; Twin Lakes; Pitkin; Mount Elbert; Frederick Walker Pitkin; State Highway 82; Zebulon Pike; Independence Pass; July 4, 1879; Continental Divide; Cottonwood Pass; Rocky Mountains; Independence Pass Foundation; Sawatch Range; Ferdinand Hayden; United States; Lake counties; Aspen; Colorado; Ute people; USA Pro Cycling Challenge",135
305,Grandes écoles de Management; Spain; Morocco; European; EQUIS; Toulouse; AACSB; Association of MBAs; Casablanca; TBS; London; France; Paris; AMBA; Grandes Ecoles; Toulouse Business School; 15th-century; Barcelona,114
306,"Tropic of Cancer; Joseph Strick; Jean Genet; The Balcony; Ellen Burstyn; Dominique Delpierre; David Baur; Paramount Pictures; James Joyce; NC-17; Phil Brown; Henry Miller; Betty Botley; United States; James T. Callahan; Paris; BBFC; American; Ulysses; Laurence Lignres; UK; 1960s; American laws; Rip Torn; February 27, 1970",133
307,Mississippi River; Lake Nokomis; Minnehaha Creek; Friends of Lake Hiawatha; Lake Hiawatha; Minnehaha Falls; Minnesota; Rice Lake; Minneapolis,62
308,"Comanche; Chief Ken Hotate; White Mountain Apache; December 22, 1965; King of the Hill; Parks and Recreation; San Antonio College; Spanish; McCollum High School; Texas; Red Corn Band; Jonathan Joss; American; John Redcorn; San Antonio",109
309,"Ravel; Palestrina; Achille Longo; Lo squartatore di New York; Shostakovich; Enzo G. Castellari; Ettore "" Raoul "" Lovecchio; Francesco De Masi; 11 January 1930; The New York Ripper; Naples; Quel maledetto treno blindato; 6 November 2005; Ennio Morricone; Santa Cecilia Conservatory; I Cantori Moderni; Italian; Lucio Fulci; Karlheinz Stockhausen; The Inglorious Bastards",153
310,Belmopan; Hurricane Hattie; Cayo District; San Ignacio; Belize; Americas; Pre-Columbian Maya temple; Belize River; Belize City; National Assembly Building,75
311,Charles Brasch; New Zealand; Dunedin; Robert Burns; Dunedin's 2008 Arts Festival; University of Otago; Scotland; Robert Burns Fellowship; 50th anniversary; October 2008; Scottish; Thomas Burns,83
312,The Temp; Edge of Sanity; 1992 Winter Olympic Games; Fortress; Toulouse; Yvonne Loriod; Sabine Lacoraet; Paris Conservatoire; France; Frdric Talgorn; Olympic flame; United States; Robot Jox; 2 July 1961,102
313,Mull; John MacDonald; James IV; Mac Domhnaill; Battle of Bloody Bay; Stewart Kings of Scotland; John of Islay; 1480s; Lords of the Isles; Earl of Ross; King James III of Scotland; Clan Donald; Angus; Western Isles; 4th Lord of the Isles; Lordship of the Isles; Scottish,120
314,The Hub; John Bischoff; Stuck Note; The LAB; Nick Collins; San Francisco; Phil Stone; Tim Perkis; Chris Brown; Scot Gresham-Lancaster; American; Mark Trayle; Rich Gold; The Network Muse Festival; New York; Jim Horton; Clocktower; Rova Saxophone Quartet; Phill Niblock; Alvin Curran,154
315,Senate; Donald Trump; United States; Foreign Service Officers; State Department,29
316,Peanuts; The Royal Guardsmen; Snoopy's Christmas; UK; December; ASCAP; Top 10; Snoopy and His Friends; Snoopy vs. the Red Baron; Ocala; US; BMI; Florida; Charles Schulz,74
317,Jeonju University; Emperor Gojong of Korea; Korean history; King of Joseon; Korea.net; Lady Hong Chng-sun; Seoul; Yi Seok; Joseon Dynasty; Jeonju; House of Yi; Pigeon House; Korean; Hanok Village; Republic of Korea; Prince Yi Kang; The New York Times; 3 August 1941,116
318,6 April 1953; Earthtone; Berlin school sound; Agitation Free; Tangerine Dream; AFI; Richard E. Roth; Babylon 5; 9 October 1991; Edgar Rothermich; Berlin; Christopher Franke; German; London; Los Angeles; Astoria Theatre; Requiem; Tenchi Muyo ! in Love; The Agitation; Ludwig; Sonic Images; Konstantin Wecker,150
319,27 July 2012; Wellywood; Wellington; New Zealand; Wellington Airport; Hollywood; May 2011; Weta Digital; The Dominion Post; The Lord of the Rings; March 2010; Weta Workshop; 1 June 2011; Wellington Blown Away; Sir Peter Jackson; Miramar,86
320,1966 to 1991; Tom Campbell; Bernard Joseph Cribbins; English; Dr. Who; Mr. Hutchinson; 29 December 1928; Frenzy; The Wombles; The Hotel Inspectors; Fawlty Towers; 1973 and 1975; OBE; BBC; Tenth Doctor; 60 episodes; Jackanory; Alfred Hitchcock; Wilfred Mott,133
321,"Samsung; South Korea; August 1, 2018; Samsung Galaxy S9 +; Galaxy Tab S; Samsung Galaxy Note; June; Samsung Galaxy S; Android; Samsung Galaxy Tab S4; 16 March 2018; Samsung Galaxy S9; March 2010; June 2014; Samsung Electronics",89
322,"Matthew Scott Porter; Pretend; George Tucker; Blake; Jason Street; Bandslam; David Edwards; Friday Night Lights; Alyson Michalka; CBS; Hart of Dixie; The Good Wife; Vanessa Hudgens; The CW; American; NBC; July 14, 1979",91
323,BBC Two; 11:35 pm; 11:15pm; BBC iPlayer; Newsnight; Emily Maitlis; News of the World; 26-minute; BBC Television; 10:30pm; 7 July 2011; BBC World News; Kirsty Wark,74
324,"Brandenburg-Prussia; 18 January 1701; John Sigismund; Margraviate of Brandenburg; Polish; World War I; German Empire; Albert of Brandenburg-Ansbach; Allied Control Council; Frederick III; Kingdom of Prussia; Prussia; Northern March; Free State of Prussia; World War II; Duchy of Prussia; Holy Roman Empire; Teutonic Knights; Elector of Brandenburg; House of Hohenzollern; Frederick I, King in Prussia",148
325,Congregationalists; Methodists; English Dissenters; Isaac Watts; Baptists; Act of Uniformity 1559; Protestant; Presbyterians; British; Puritans; Church of England; Act of Uniformity 1662; Wales; Matthew Henry; England; 21st century; Calvinists; 19th century; Free Church; Reformed Christians,119
326,American; Sylvester Stallone; David Callaham; The Expendables 3; 90s; The Expendables 2; The Expendables; 1980s,59
327,"Maryland; Union Station; Baltimore; Penn Line; Northeastern states; Pennsylvania Railroad; Washington; MARC; Washington, D.C.; MTA; mid-19th century; Conrail; Chesapeake; Penn Central; Penn Station; Amtrak; PRR; Northeast Corridor; Perryville, Maryland",115
328,"Department of Defense; Ali Abdullah Ahmed; Guantanamo; Muhammaed Yasir Ahmed Taher; Yasir al-Simli; June 10, 2006; March 2, 2017; Cuba; Joint Task Force Guantanamo; United States; Salah Ahmed al-Salami; 693; August 1, 1979; Yemen; Ib",119
329,Milanese; National Gallery; London; St. John the Baptist; Milan; St Anne; Leonardo da Vinci; 1506  1508; Child Jesus; Florence; 1499  1500; Virgin Mary; The Burlington House Cartoon,81
330,Grotto of St Anthony of Padua; Gerard; Assesse; St Anthony of Padua; Crupet; Wallonia; Castle of Crupet; Belgium; 12 July 1903,69
331,"United Kingdom; University College Hospital; Hospital for Tropical Diseases; London; London South Bank University; UCLH; Eastman Dental Hospital; University College London; Kings College London; City, University of London; UCL Medical School; UCH Macmillan Cancer Centre; NHS",141
332,BSD; C #; Mono; Ximian; PlayStation 3; .NET Foundation; .NET Framework; Xamarin; Ecma; Xbox 360; macOS; Spanish; Windows; Microsoft; Microsoft.NET; Linux distributions; Linux; Novell; Solaris; Android; Common Language Runtime; Wii,101
333,Maaye Maaye; Galaxy Films; Njangalude Veettile Athidhikal; Innocent; Priyamani; Jayaram; Lena; Sibi Malayil; Malayalam; K. Gireesh Kumar; Narain; Malaysia; Ratheesh Vega; Milan Jaleel; Kalabhavan Shajon; 30 October 2014; New Zealand; Australia; Singapore,121
334,"China; Dutch; FIH Player of the Year; 2008 Summer Olympics; 26 July 1983; Sven Kramer; Rio de Janeiro; Netherlands national team; Beijing; 2007 Champions Trophy; 2006 Women's Hockey World Cup; 2012 Summer Olympics; MHC Laren; June 20, 2003; Naomi van As; Great Britain; 2016 Summer Olympics; South Africa",113
335,Bibliothèque Nationale; American; Boston Museum of Fine Arts; The New Yorker; J. Paul Getty Museum; Musee d'Art Moderne; Mariana Cook; Ansel Adams; A Couple in Chicago; Metropolitan Museum of Art; Museum of Modern Art; New York City; Barack and Michelle Obama; National Portrait Gallery; Hyde Park,102
336,"blues rock; Mama Said; alternative rock; Until It Sleeps; Hero of the Day; Elektra Records; RIAA; King Nothing; Southern rock; thrash metal; US Billboard 200; hard rock; Vertigo Records; United States; country rock; Load; June 4, 1996; American; Metallica; Lars Ulrich",104
